Description,Date,Attende,Location,Project,Access,Agenda Type,Category,Duration,Meet Type,Notes,Project Link
Start Concept Art FOUFO,"1/9/2025, 4:30:00 PM","Ricky, bu Lili",Phone Call,Foufo,"bod,team,partner",Meeting,IP Development,.,Online,,
PPM 1,"1/13/2025, 12:00:00 AM","Ricky,Bayu",,Sekawan Limo 2,team,Meeting,Production,,,,
Pick Lock,"20/01/2025, 0:00:00",,,Cocote Tonggo,"bod,team,partner",Meeting,Post Pro,,,,
Analisis Bareng,"1/25/2025, 5:20:00 PM","Mustofha,Ibrahimy,Aji",Di Kantor,Sekawan Limo 2,intern,Meeting,IP Development,,,Melihat dan Menganalisi,
Concept Design Update - Sketch Alien Draft 1,"1/17/2025, 2:00:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,"Char Design Submit Draft Sketsa Alien, Team Sepakat untuk memilih Alien E untuk di eksplore dengan ditambah akses dakocan. Ditambah dengan kostum madura autentik dengan kopiah panjang",
Concept Design Update - Refines Alien Draft 1,"1/20/2025, 12:21:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,Char Design submit sketsa alien dengan ditambah warna (refines) plus akses.,https://drive.google.com/drive/folders/1oM-JIlNBMSh23P_6ilkUKxDBcA96X-1m?usp=drive_link
Concept Design Update - Refines Char Alien Draft 2,"1/21/2025, 4:08:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,.,Online,"Char Design update alien refines draft 2 dengan ditambahi akses dakocan dan baju autentik madura.

Revisi : 
1. SKAK team request mata dibuat belo dengan reference shiqi alien",https://drive.google.com/drive/folders/1oM-JIlNBMSh23P_6ilkUKxDBcA96X-1m?usp=drive_link
Concept Design Update - Sketch UFO Draft 1,"1/21/2025, 12:00:00 AM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,"Concept Art submit design explorasi untuk skoci UFO untuk dipilih mana model yang akan di eksplorasi nantinya.

Team pilih next model yang akan di eksplorasi point 9,10,11,12.",https://drive.google.com/drive/folders/1C-EfIjS5mOIe_uVum1UMSktj6njAxY_3?usp=drive_link
Concept Design Update -  Sketch UFO Draft 2,"1/22/2025, 12:00:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,"Dari tipikal bentuk yg sdh dipilih, Concept Artist coba coret2 dikit masukin yg ada unsur aliennya. Akhirnya comes up di kayanya kalo ada bentuk mulut di bagian depan lucu deh.. Mungkin bisa tambahin lampu juga supaya mirip sama mata aliennya. 

SKAK team approved aman, lanjut untuk di refines",https://drive.google.com/drive/folders/14o3TJj5tbCCAQYBZI9FpCzVmiKEuhhie?usp=drive_link
Draft 3 - Global Sinopsis,"2/4/2025, 7:00:00 PM",Faishol,Whatsapp,Foufo,team,Meeting,IP Development,-,Online,Script Writer submit Global Sinopsis draft 2,https://drive.google.com/drive/folders/1Oo8CYDZzy6QVb5UkcyCjnpK3h-Rc6gk7?usp=drive_link
Concept Design Update - Refine Charachter FOUFO Draft 3,"1/23/2025, 9:02:00 AM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,0,Online,"Char Design update revisi mata UFO belo dan pupil mendekati mata manusia.

Comment : Ms Ricky dengan pilihan A/B & Ms Bayu dengan pilihan E. Next plan nya Char Design compile mix & match dengan pilihan A/B & E",https://drive.google.com/drive/folders/1oM-JIlNBMSh23P_6ilkUKxDBcA96X-1m?usp=drive_link
Concept Design Update - Sketch UFO Draft 3,"1/23/2025, 9:49:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,"Concept artist submit 3D skoci kecil dengan disesuaikan tinggi & kecil ufo, dan coba simulasi ketika manusia/ufo masuk dalam skoci kecil.

Comment : Ms Ricky meminta revisi karena masih terlihat kebesaran skoci UFO, mengingat nanti ada adegan dibawa ke rombengan, jadi nggak bisa terlalu besar dan sudah disesuaikan oleh concept artist hasil dibawah.",https://drive.google.com/drive/folders/1DrxsgGyMcopOjVAiT9JWvOUE4H7i0Q4t?usp=drive_link
Concept Design Update - Refines UFO Draft 1,"1/24/2025, 6:36:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,"Concept Art submit draft 4 skoci kecil dengan lebih detail, dengan arahan kap bisa dibuka seperti reference yang diberikan mas rofiq & mas ricky.",https://drive.google.com/drive/folders/12Pir3QSwjp53WGhqDjM84h7XWKy1jizG?usp=drive_link
Concept Design Update -  Refines UFO Draft 2,"1/25/2025, 4:00:00 AM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,"Concept artist submit detail skoci kecil UFO, dengan mix & match warna yang di arahkan mas rofiq. Dan memberikan beberapa opsi warna mix & match.

Comment : Final pilihan pada skoci B, dan dilanjutkan dengan design cookpit dan request mas rofiq dengan kursi gaming didalam skoci",https://drive.google.com/drive/folders/1M9bU74rbCqWMrG7JVzO2T63hi5Yq_aZk?usp=drive_link
Concept Design Update -  Refines Charachter FOUFO Draft 3,"2/2/2025, 6:01:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,"Char design submit refines semi final dengan lebih detail dari kostum, ekspresi dll.

Comment : masi menunggu feedback dari team SKAK",https://drive.google.com/drive/folders/1M9bU74rbCqWMrG7JVzO2T63hi5Yq_aZk?usp=drive_link
"Internal Meeting - FOUFO Production Design, Strategy & Goals","1/14/2025, 3:00:00 PM",,Skak Studios,Foufo,bod,Meeting,Pre Production,1 Jam,,"Chairperson :
Ricky S. Setyawan - Producer

Attendees :
1. Bayu Skak - Director
2. Henny Myranda - Producer
3. Achmad Rofiq - Producer
4. Anggra - Production Asst

PEMBAHASAN :
- Listing key crew untuk diajukan dengan prioritas awal yaitu Internal, DOP, Art, Casting, Make Up.

- Foufo membutuhkan Co-Director yang memiliki skill visual kuat untuk mendukung transisi Director karena saat preps Film FOUFO, Mas Bayu sedang shooting Sekawan Limo 2. Mas Bayu merekomendasikan Yogi Supra sebagai Co-Director (sementara tetap mencari opsi lain) dan Astrada: Zacky.

- Shooting real di Surabaya akan dipisah dengan shooting studio CGI di Jakarta. Estimasi durasi shooting CGI: 3-4 hari.

- Perlu menghitung opsi budget untuk keseluruhan produksi.

TINDAK LANJUT :
- Menyusun daftar nama crew untuk diajukan.
- Melakukan pencarian Key Crew dan evaluasi kandidat.
- Follow up untuk contact Yogi dan Zacky.
- Setelah Script Draft 1 selesai, baru bisa mulai penghitungan untuk opsi budget.

Minutes Prepared by :
Ang.


",
